,names,scores,logfoldchanges,pvals,pvals_adj
94,B2M,4.1495566,0.49588096,3.3312006864929946e-05,0.009432960983942213
95,HPD,4.1321692,0.35308054,3.59355764402521e-05,0.010075125921372463
96,NIT2,4.123727,0.4365766,3.7279086905350795e-05,0.010301204765956693
97,RPL10A,4.122554,0.35130718,3.746950916034677e-05,0.010301204765956693
98,RPL36,4.0987353,0.3328534,4.154138718467284e-05,0.011310840970272892
99,CST3,4.0845323,0.44668242,4.416571748557171e-05,0.011910863067037467
100,KHK,4.0665584,0.33646825,4.7712565074823806e-05,0.012746006653054582
101,RACK1,4.055351,0.41991457,5.005912725731117e-05,0.013247890715376453
102,RPL5,4.052062,0.44404304,5.076824383900415e-05,0.013311151488787781
103,EEF1G,4.0404773,0.38270333,5.3342535942422656e-05,0.013857803580564976
104,COX7A2,4.014187,0.36467305,5.9651091249521125e-05,0.015355817735569908
105,BRI3,4.003587,0.4284301,6.238928839087272e-05,0.015916013327606695
106,PSMC5,3.9893417,0.44271573,6.625689216948167e-05,0.016751753710385824
107,CXCL14,3.98069,0.3220737,6.871550507626717e-05,0.017219619090660686
108,RPS25,3.9665706,0.36711743,7.291415518388202e-05,0.0181114923889648
109,RPS19BP1,3.9492881,0.42006123,7.83839578552848e-05,0.019300856822505215
110,NAT8,3.9447842,0.39406598,7.987188268832824e-05,0.019497690535218885
111,TSTD1,3.9222436,0.40437302,8.77282613257328e-05,0.02123248868342544
112,APRT,3.9116645,0.4058058,9.16621965573752e-05,0.021996596778942317
113,AQP1,3.9016721,0.4473601,9.553054123586505e-05,0.02273225492584866
114,RPS14,3.8964138,0.37162477,9.76274841513631e-05,0.022948198561188713
115,LAMTOR5,3.8953454,0.31437683,9.805883483080248e-05,0.022948198561188713
116,SNHG7,3.872281,0.72854036,0.00010782147097811504,0.0250260704400597
117,PHYH,3.8579733,0.39514625,0.00011433114109048969,0.026321259530564196
118,PGPEP1,3.8526943,0.5347382,0.00011682523429941032,0.026678549674648406
119,IMPA2,3.8485675,0.38755533,0.00011881062153799403,0.026914882960731013
120,SF3B5,3.8391614,0.4060357,0.000123455225370219,0.02774509219689279
121,SLC6A19,3.831159,0.47077325,0.00012754099135980394,0.028437624034138333
122,HDHD3,3.805874,0.46005234,0.0001413042074606331,0.031133650017162638
123,SQSTM1,3.8049524,0.40065855,0.0001418314387899135,0.031133650017162638
124,MSRB1,3.7852607,0.43120548,0.00015354747546035,0.03344618355854408
125,ATP5MC1,3.7626781,0.37029842,0.00016810343468494704,0.03633728977079118
126,PIPOX,3.7513242,0.42206565,0.00017590314706290015,0.03773522284378896
127,TOMM7,3.7263954,0.36245242,0.0001942377104549586,0.041355107119947845
128,SLIRP,3.6987221,0.37821406,0.000216687587567798,0.045790615053412954
129,CENPX,3.68498,0.48738983,0.00022872063946119474,0.04797542479720482
130,SEC61G,3.6804132,0.3688099,0.00023285634627745133,0.04848377321719551
131,NDUFB11,3.6770613,0.38679814,0.0002359362703434256,0.048766477133684545
28313,GSTA2,-4.324079,-0.34454983,1.5317035755985564e-05,0.004663790338733798
28314,RPS4Y1,-4.3243933,-0.5586523,1.5295221242127146e-05,0.004663790338733798
